Iteration;w_s;Non Food;Non Perishable A;Non Perishable B;Non Perishable C;Non Perishable D;Perishable A;Perishable B;Medoid 0;Medoid 1;Medoid 2;Medoid 3;Cluster Size 0;Cluster Size 1;Cluster Size 2;Cluster Size 3;IEM;optimization;clustering;Repetition
0;0.11408519359808582;0.1486707537952537;0.1253000809216158;0.11326817393468144;0.088067694135561;0.13426592896451614;0.09096390915257356;0.18537826549771247;64239319394;11811299362;1610752128;42949675010;330;206;159;1;;;;random_0
1;0.367667884344013;0.03990221961405828;0.11128996734264213;0.0724169793246418;0.013310486673025463;0.3421665289244796;0.019855971968841826;0.033389961808298084;64239319394;11811299362;1610752128;42949676034;257;200;178;61;-7.728221716706356;0.109375;0.609375;random_0
2;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602431;0.12669086097893295;29802635458;3221368864;1082269696;44090525698;269;189;106;132;-7.789874925686825;0.078125;0.484375;random_0
3;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602431;0.12669086097893295;29802635458;3221368864;1082269696;44090525698;270;188;106;132;-7.862796789282073;0.109375;0.234375;random_0
4;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602431;0.12669086097893295;29802635458;3221368864;1082269696;44090525698;270;188;106;132;-7.862423166604209;0.09375;;random_0
0;0.2230943142573634;0.08876925228049985;0.18328959226317254;0.12244267836512653;0.13150607973995734;0.21428175474110944;0.016445318155662837;0.020171010197108017;536871044;61819988038;3221368864;12415279330;50;288;145;213;;;;random_1
1;0.3185978616200468;0.0399253692728866;0.07682932231412168;0.20500689188455026;0.19099429936681286;0.12665723020531694;0.02933711933047395;0.012651906005790877;536871044;61819988038;3221368864;12415279330;50;263;164;219;-7.808841620859036;0.09375;0.359375;random_1
2;0.3185978616200468;0.0399253692728866;0.07682932231412168;0.20500689188455026;0.19099429936681286;0.12665723020531694;0.02933711933047395;0.012651906005790877;536871044;61819988038;3221368864;12415279330;50;263;164;219;-7.815536915404432;0.109375;;random_1
0;0.10822950194210952;0.14099952599637086;0.021833392552064484;0.2356914372988185;0.19284980200941512;0.09032859058704758;0.17809393668812418;0.031973812926049804;536871044;11811299362;63987218914;19331547168;43;236;349;68;;;;random_10
1;0.3213706583755633;0.11903814318268968;0.017556143254973008;0.27872367736218245;0.15140872368796396;0.0725830103446137;0.006198745360259357;0.03312089843175478;1610752128;9730924546;63987218914;20406337568;135;139;282;140;-7.770231268860682;0.09375;0.546875;random_10
